微信支付账单明细
微信昵称：[匿名用户]
起始时间：[2024-01-01 00:00:00] 终止时间：[2024-01-31 23:59:59]
导出类型：[全部]
导出时间：[2024-02-01 12:00:00]

共10笔记录
收入：3笔 130.00元
支出：6笔 390.49元
中性交易：1笔 50.00元

----------------------微信支付账单明细列表--------------------
交易时间,交易类型,交易对方,商品,收/支,金额(元),支付方式,当前状态,交易单号,商户单号,备注
2024-01-02 08:15:00,商户消费,星巴克,星巴克拿铁,支出,¥38.00,零钱,支付成功,4200001000000000001,SBX001,/
2024-01-05 12:30:00,商户消费,滴滴出行,滴滴打车,支出,¥25.50,零钱通,支付成功,4200001000000000002,DD002,/
2024-01-08 19:45:00,转账,匿名好友A,微信红包,支出,¥88.00,零钱,支付成功,4200001000000000003,RP003,/
2024-01-10 09:00:00,转账,匿名好友B,微信红包,收入,¥66.00,/,已收钱,4200001000000000004,RP004,/
2024-01-12 14:20:00,商户消费,京东,日用品,支出,¥120.00,零钱通,支付失败,4200001000000000005,JD005,/
2024-01-15 10:10:00,商户消费,瑞幸咖啡,生椰拿铁,支出,¥19.00,零钱,已退款,4200001000000000006,LK006,/
2024-01-18 11:00:00,转账,匿名好友C,转账,支出,¥50.00,零钱,支付成功,4200001000000000007,TR007,/
2024-01-20 16:30:00,零钱提现,/,零钱提现,/,¥50.00,零钱,提现已到账,4200001000000000008,WD008,/
2024-01-22 20:00:00,商户消费,拼多多,衣服,支出,¥99.99,零钱通,支付成功,4200001000000000009,PD009,/
2024-01-25 08:00:00,二维码收款,匿名好友D,/,收入,¥34.00,/,已收钱,4200001000000000010,QR010,/
